Customer ID,Age,age_band,Gender,Location,region,Item Purchased,Category,Size,Color,Season,Purchase Amount (USD),annual_frequency,Frequency of Purchases,Previous Purchases,Review Rating,Subscription Status,subscription_flag,Shipping Type,Payment Method,Discount Applied,Promo Code Used,promo_flag,estimated_annual_spend,value_tier,spend_rank_pctile,purchase_frequency_score,tenure_proxy,tenure_proxy_norm,satisfaction_flag,promo_dependency_score,promo_sensitivity_group,loyalty_A,loyalty_B,loyalty_score,customer_segment
28,56,56-65,Male,Kentucky,South,Shorts,Clothing,L,Cyan,Summer,56,4,Every 3 Months,7,5.0,Yes,1,Next Day Air,Bank Transfer,Yes,Yes,1,224,Silver,0.2755128205128205,0.058823529411764705,7,0.12244897959183673,1,0.8259303721488596,High,0.41050420168067225,0.29531812725090034,0.41050420168067225,Casual Browsers
29,54,46-55,Male,North Carolina,South,Handbag,Accessories,M,Gray,Fall,94,4,Every 3 Months,41,4.4,Yes,1,Free Shipping,PayPal,Yes,Yes,1,376,Silver,0.4338461538461538,0.058823529411764705,41,0.8163265306122449,1,0.1728691476590636,Medium,0.6533613445378151,0.46878751500600235,0.6533613445378151,Loyal Regulars
30,31,26-35,Male,Wyoming,West,Dress,Clothing,S,Black,Fall,48,52,Weekly,14,4.1,Yes,1,Store Pickup,Credit Card,Yes,Yes,1,2496,Platinum,0.8991025641025641,1.0,14,0.2653061224489796,1,0.0,Low,0.7428571428571429,0.5663265306122449,0.7428571428571429,Champions
31,57,56-65,Male,North Carolina,South,Jewelry,Accessories,L,Black,Winter,31,12,Monthly,16,4.7,Yes,1,Standard,Credit Card,Yes,Yes,1,372,Silver,0.4288461538461538,0.21568627450980393,16,0.30612244897959184,1,0.5442176870748299,High,0.5218487394957984,0.3804521808723489,0.5218487394957984,Loyal Regulars
32,33,26-35,Male,West Virginia,South,Dress,Clothing,L,Brown,Winter,79,12,Monthly,45,4.7,Yes,1,Store Pickup,Venmo,Yes,Yes,1,948,Gold,0.6116666666666667,0.21568627450980393,45,0.8979591836734694,1,0.08003201280512205,Low,0.7289915966386554,0.5284113645458183,0.7289915966386554,Champions
33,36,36-45,Male,Kansas,Midwest,Jacket,Outerwear,M,Silver,Summer,67,1,Annually,37,4.9,Yes,1,Free Shipping,Venmo,Yes,Yes,1,67,Bronze,0.08666666666666667,0.0,37,0.7346938775510204,1,0.26530612244897955,Medium,0.6071428571428571,0.4336734693877551,0.6071428571428571,Loyal Regulars
34,54,46-55,Male,Colorado,West,Pants,Clothing,L,Green,Summer,38,4,Quarterly,45,3.3,Yes,1,Store Pickup,Cash,Yes,Yes,1,152,Bronze,0.2194871794871795,0.058823529411764705,45,0.8979591836734694,0,0.09603841536614646,Low,0.48193277310924365,0.33919567827130853,0.48193277310924365,At-Risk
35,36,36-45,Male,North Dakota,Midwest,T-shirt,Clothing,L,Violet,Spring,91,4,Quarterly,38,4.6,Yes,1,2-Day Shipping,PayPal,Yes,Yes,1,364,Silver,0.42205128205128206,0.058823529411764705,38,0.7551020408163265,1,0.23049219687875155,Medium,0.6319327731092437,0.4534813925570228,0.6319327731092437,Loyal Regulars
36,54,46-55,Male,Massachusetts,Northeast,Blouse,Clothing,M,Cyan,Summer,33,26,Bi-Weekly,48,4.0,Yes,1,2-Day Shipping,Credit Card,Yes,Yes,1,858,Gold,0.5862820512820512,0.49019607843137253,48,0.9591836734693877,1,0.020808323329331753,Low,0.8327731092436975,0.6123449379751901,0.8327731092436975,Champions
37,35,26-35,Male,Illinois,Midwest,T-shirt,Clothing,M,Maroon,Winter,69,26,Fortnightly,44,4.6,Yes,1,Free Shipping,PayPal,Yes,Yes,1,1794,Platinum,0.7817948717948718,0.49019607843137253,44,0.8775510204081632,1,0.0624249699879952,Low,0.8042016806722688,0.5919367747098839,0.8042016806722688,Champions
38,35,26-35,Male,Indiana,Midwest,Jeans,Clothing,S,Cyan,Summer,45,52,Weekly,10,2.8,Yes,1,Store Pickup,PayPal,Yes,Yes,1,2340,Platinum,0.8710256410256411,1.0,10,0.1836734693877551,0,0.0,Low,0.5142857142857142,0.39591836734693875,0.5142857142857142,At-Risk
39,29,26-35,Male,Florida,South,Dress,Clothing,M,Red,Winter,37,4,Every 3 Months,44,3.7,Yes,1,2-Day Shipping,Venmo,Yes,Yes,1,148,Bronze,0.21461538461538462,0.058823529411764705,44,0.8775510204081632,0,0.11524609843937578,Low,0.47478991596638653,0.334093637454982,0.47478991596638653,At-Risk
40,70,66-70,Male,Arizona,West,Pants,Clothing,S,Turquoise,Summer,60,12,Monthly,18,4.2,Yes,1,Express,Credit Card,Yes,Yes,1,720,Gold,0.5455128205128205,0.21568627450980393,18,0.3469387755102041,1,0.5122048819527811,High,0.5361344537815126,0.39065626250500196,0.5361344537815126,Champions
41,69,66-70,Male,Louisiana,South,Handbag,Accessories,L,Beige,Winter,76,4,Quarterly,31,4.6,Yes,1,Next Day Air,Debit Card,Yes,Yes,1,304,Silver,0.3597435897435897,0.058823529411764705,31,0.6122448979591837,1,0.3649459783913565,Medium,0.5819327731092437,0.4177671068427371,0.5819327731092437,Loyal Regulars
42,67,66-70,Male,Alaska,West,Scarf,Accessories,M,Orange,Spring,39,1,Annually,40,4.5,Yes,1,Standard,Venmo,Yes,Yes,1,39,Bronze,0.03743589743589744,0.0,40,0.7959183673469388,1,0.20408163265306123,Medium,0.6285714285714286,0.44897959183673464,0.6285714285714286,Loyal Regulars
43,20,18-25,Male,Tennessee,South,Coat,Outerwear,M,Beige,Spring,100,1,Annually,15,4.1,Yes,1,Free Shipping,PayPal,Yes,Yes,1,100,Bronze,0.16705128205128206,0.0,15,0.2857142857142857,1,0.7142857142857143,High,0.44999999999999996,0.3214285714285714,0.44999999999999996,Casual Browsers
44,25,18-25,Male,Ohio,Midwest,Scarf,Accessories,L,Lavender,Fall,69,26,Fortnightly,19,3.7,Yes,1,Store Pickup,PayPal,Yes,Yes,1,1794,Platinum,0.7817948717948718,0.49019607843137253,19,0.3673469387755102,0,0.32252901160464187,Medium,0.42563025210084027,0.31438575430172067,0.42563025210084027,At-Risk
45,39,36-45,Male,Kentucky,South,Hat,Accessories,S,Silver,Summer,53,52,Weekly,45,4.6,Yes,1,Free Shipping,PayPal,Yes,Yes,1,2756,Platinum,0.9232051282051282,1.0,45,0.8979591836734694,1,0.0,Low,0.9642857142857143,0.7244897959183674,0.9642857142857143,Champions
46,50,46-55,Male,Tennessee,South,Socks,Clothing,XL,Indigo,Fall,21,1,Annually,25,2.9,Yes,1,2-Day Shipping,PayPal,Yes,Yes,1,21,Bronze,0.002564102564102564,0.0,25,0.4897959183673469,0,0.5102040816326531,High,0.3214285714285714,0.22244897959183674,0.3214285714285714,Discount Hunters
47,57,56-65,Male,California,West,Shirt,Clothing,L,White,Summer,43,4,Quarterly,45,2.9,Yes,1,Store Pickup,Cash,Yes,Yes,1,172,Bronze,0.23897435897435898,0.058823529411764705,45,0.8979591836734694,0,0.09603841536614646,Low,0.48193277310924365,0.33919567827130853,0.48193277310924365,At-Risk
48,55,46-55,Male,Montana,West,Jewelry,Accessories,M,Charcoal,Winter,54,52,Weekly,36,4.5,Yes,1,Free Shipping,Cash,Yes,Yes,1,2808,Platinum,0.9248717948717948,1.0,36,0.7142857142857143,1,0.0,Low,0.9,0.6785714285714286,0.9,Champions
49,42,36-45,Male,Nevada,West,Shirt,Clothing,M,Orange,Summer,55,12,Monthly,38,2.7,Yes,1,Store Pickup,Cash,Yes,Yes,1,660,Gold,0.5307692307692308,0.21568627450980393,38,0.7551020408163265,0,0.19207683073229295,Medium,0.4789915966386554,0.3426970788315326,0.4789915966386554,At-Risk
50,68,66-70,Male,New Jersey,Northeast,Hoodie,Clothing,S,Indigo,Spring,30,26,Bi-Weekly,34,4.6,Yes,1,Next Day Air,Debit Card,Yes,Yes,1,780,Gold,0.5638461538461539,0.49019607843137253,34,0.673469387755102,1,0.16646658663465386,Medium,0.7327731092436974,0.5409163665466186,0.7327731092436974,Champions
51,49,46-55,Male,Maryland,South,Blouse,Clothing,M,Red,Spring,28,26,Bi-Weekly,39,3.7,Yes,1,Store Pickup,Debit Card,Yes,Yes,1,728,Gold,0.5483333333333333,0.49019607843137253,39,0.7755102040816326,0,0.11444577831132453,Low,0.5684873949579832,0.4164265706282513,0.5684873949579832,Champions
52,59,56-65,Male,Vermont,Northeast,Skirt,Clothing,XL,Gray,Winter,59,4,Quarterly,7,4.7,Yes,1,2-Day Shipping,Credit Card,Yes,Yes,1,236,Silver,0.2875641025641026,0.058823529411764705,7,0.12244897959183673,1,0.8259303721488596,High,0.41050420168067225,0.29531812725090034,0.41050420168067225,Casual Browsers
53,42,36-45,Male,Alaska,West,T-shirt,Clothing,M,Green,Summer,20,52,Weekly,26,2.6,Yes,1,Free Shipping,Credit Card,Yes,Yes,1,1040,Gold,0.6356410256410256,1.0,26,0.5102040816326531,0,0.0,Low,0.6285714285714286,0.4775510204081632,0.6285714285714286,Champions
54,29,26-35,Male,Mississippi,South,Skirt,Clothing,S,Peach,Winter,24,52,Weekly,35,3.9,Yes,1,Next Day Air,Credit Card,Yes,Yes,1,1248,Gold,0.6875641025641026,1.0,35,0.6938775510204082,0,0.0,Low,0.6928571428571428,0.523469387755102,0.6928571428571428,Champions
55,47,46-55,Male,New Mexico,West,Coat,Outerwear,M,Brown,Summer,94,26,Bi-Weekly,35,4.2,Yes,1,Next Day Air,Debit Card,Yes,Yes,1,2444,Platinum,0.8907692307692308,0.49019607843137253,35,0.6938775510204082,1,0.15606242496998798,Low,0.7399159663865545,0.5460184073629452,0.7399159663865545,Champions
56,40,36-45,Male,South Carolina,South,Jacket,Outerwear,M,Lavender,Winter,28,1,Annually,49,3.0,Yes,1,2-Day Shipping,Credit Card,Yes,Yes,1,28,Bronze,0.014871794871794871,0.0,49,0.9795918367346939,0,0.020408163265306145,Low,0.49285714285714277,0.3448979591836735,0.49285714285714277,At-Risk
57,41,36-45,Male,Mississippi,South,Backpack,Accessories,XL,Brown,Summer,73,52,Weekly,46,4.7,Yes,1,Store Pickup,Credit Card,Yes,Yes,1,3796,Platinum,0.9547435897435897,1.0,46,0.9183673469387755,1,0.0,Low,0.9714285714285714,0.7295918367346939,0.9714285714285714,Champions
58,21,18-25,Male,West Virginia,South,Coat,Outerwear,M,White,Summer,64,26,Fortnightly,17,4.4,Yes,1,Store Pickup,Debit Card,Yes,Yes,1,1664,Platinum,0.7541025641025642,0.49019607843137253,17,0.32653061224489793,1,0.3433373349339736,Medium,0.611344537815126,0.4541816726690676,0.611344537815126,Champions
59,69,66-70,Male,Missouri,Midwest,Hoodie,Clothing,M,Charcoal,Summer,54,12,Monthly,29,4.2,Yes,1,Free Shipping,Venmo,Yes,Yes,1,648,Gold,0.5247435897435897,0.21568627450980393,29,0.5714285714285714,1,0.33613445378151263,Medium,0.6147058823529412,0.4467787114845938,0.6147058823529412,Champions
60,63,56-65,Male,Louisiana,South,Belt,Accessories,L,Yellow,Spring,79,52,Weekly,4,4.6,Yes,1,Standard,Debit Card,Yes,Yes,1,4108,Platinum,0.962948717948718,1.0,4,0.061224489795918366,1,0.0,Low,0.6714285714285714,0.5153061224489796,0.6714285714285714,Champions
61,50,46-55,Male,Idaho,West,Sweater,Clothing,L,Brown,Summer,37,52,Weekly,17,4.0,Yes,1,Express,Cash,Yes,Yes,1,1924,Platinum,0.8016666666666666,1.0,17,0.32653061224489793,1,0.0,Low,0.7642857142857143,0.5816326530612245,0.7642857142857143,Champions
62,55,46-55,Male,Texas,South,Scarf,Accessories,M,Orange,Winter,68,4,Every 3 Months,21,4.7,Yes,1,Store Pickup,Credit Card,Yes,Yes,1,272,Silver,0.32487179487179485,0.058823529411764705,21,0.40816326530612246,1,0.5570228091236494,High,0.5105042016806722,0.36674669867947174,0.5105042016806722,Casual Browsers
63,30,26-35,Male,Mississippi,South,Sneakers,Footwear,S,Magenta,Spring,21,26,Fortnightly,31,3.8,Yes,1,Free Shipping,Credit Card,Yes,Yes,1,546,Silver,0.49256410256410255,0.49019607843137253,31,0.6122448979591837,0,0.19767907162865145,Medium,0.511344537815126,0.3756102440976391,0.511344537815126,At-Risk
64,33,26-35,Male,Arizona,West,Sunglasses,Accessories,L,Lavender,Winter,79,52,Weekly,43,2.7,Yes,1,2-Day Shipping,Credit Card,Yes,Yes,1,4108,Platinum,0.962948717948718,1.0,43,0.8571428571428571,0,0.0,Low,0.75,0.5642857142857143,0.75,Champions
65,65,56-65,Male,Alabama,South,Boots,Footwear,S,Green,Fall,83,26,Fortnightly,18,4.8,Yes,1,Standard,Debit Card,Yes,Yes,1,2158,Platinum,0.8373076923076923,0.49019607843137253,18,0.3469387755102041,1,0.3329331732693077,Medium,0.6184873949579831,0.4592837134853941,0.6184873949579831,Champions
66,65,56-65,Male,New Jersey,Northeast,Backpack,Accessories,M,Purple,Spring,36,4,Every 3 Months,44,4.8,Yes,1,2-Day Shipping,Venmo,Yes,Yes,1,144,Bronze,0.21,0.058823529411764705,44,0.8775510204081632,1,0.11524609843937578,Low,0.6747899159663865,0.484093637454982,0.6747899159663865,Loyal Regulars
67,31,26-35,Male,Pennsylvania,Northeast,Blouse,Clothing,S,Magenta,Winter,94,4,Every 3 Months,3,4.7,Yes,1,2-Day Shipping,Venmo,Yes,Yes,1,376,Silver,0.4338461538461538,0.058823529411764705,3,0.04081632653061224,1,0.9027611044417767,High,0.3819327731092437,0.2749099639855942,0.3819327731092437,Discount Hunters
68,45,36-45,Male,Connecticut,Northeast,Coat,Outerwear,L,Gray,Winter,33,12,Monthly,49,4.4,Yes,1,Store Pickup,Debit Card,Yes,Yes,1,396,Silver,0.4591025641025641,0.21568627450980393,49,0.9795918367346939,1,0.016006402561024428,Low,0.757563025210084,0.5488195278111244,0.757563025210084,Loyal Regulars
69,57,56-65,Male,Utah,West,Handbag,Accessories,L,Silver,Summer,46,4,Every 3 Months,21,3.9,Yes,1,Next Day Air,Cash,Yes,Yes,1,184,Bronze,0.24794871794871795,0.058823529411764705,21,0.40816326530612246,0,0.5570228091236494,High,0.3105042016806723,0.2167466986794718,0.3105042016806723,Discount Hunters
70,48,46-55,Male,Tennessee,South,Belt,Accessories,S,Cyan,Summer,70,52,Weekly,5,4.4,Yes,1,Express,Cash,Yes,Yes,1,3640,Platinum,0.9498717948717949,1.0,5,0.08163265306122448,1,0.0,Low,0.6785714285714286,0.5204081632653061,0.6785714285714286,Champions
71,22,18-25,Male,Alabama,South,Belt,Accessories,M,Magenta,Fall,29,4,Every 3 Months,32,4.2,Yes,1,Express,Debit Card,Yes,Yes,1,116,Bronze,0.1835897435897436,0.058823529411764705,32,0.6326530612244898,1,0.3457382953181272,Medium,0.5890756302521009,0.4228691476590636,0.5890756302521009,Loyal Regulars
72,36,36-45,Male,Virginia,South,Dress,Clothing,L,Gold,Summer,48,1,Annually,34,2.9,Yes,1,Express,Bank Transfer,Yes,Yes,1,48,Bronze,0.05307692307692308,0.0,34,0.673469387755102,0,0.326530612244898,Medium,0.3857142857142857,0.2683673469387755,0.3857142857142857,At-Risk
73,18,18-25,Male,Georgia,South,Dress,Clothing,M,Olive,Winter,26,4,Every 3 Months,21,2.9,Yes,1,Store Pickup,Bank Transfer,Yes,Yes,1,104,Bronze,0.17294871794871794,0.058823529411764705,21,0.40816326530612246,0,0.5570228091236494,High,0.3105042016806723,0.2167466986794718,0.3105042016806723,Discount Hunters
74,48,46-55,Male,Hawaii,West,Pants,Clothing,M,Teal,Spring,85,26,Bi-Weekly,43,2.7,Yes,1,Free Shipping,Bank Transfer,Yes,Yes,1,2210,Platinum,0.847948717948718,0.49019607843137253,43,0.8571428571428571,0,0.07282913165266108,Low,0.5970588235294118,0.4368347338935574,0.5970588235294118,Champions
75,49,46-55,Male,Indiana,Midwest,Gloves,Accessories,L,Violet,Spring,58,12,Monthly,3,4.5,Yes,1,Express,Cash,Yes,Yes,1,696,Gold,0.5392307692307692,0.21568627450980393,3,0.04081632653061224,1,0.7523009203681472,High,0.4289915966386555,0.3141256502601041,0.4289915966386555,Casual Browsers
76,64,56-65,Male,Utah,West,Scarf,Accessories,M,Blue,Summer,85,1,Annually,21,2.7,Yes,1,Free Shipping,Credit Card,Yes,Yes,1,85,Bronze,0.12256410256410256,0.0,21,0.40816326530612246,0,0.5918367346938775,High,0.2928571428571428,0.20204081632653062,0.2928571428571428,Discount Hunters
77,50,46-55,Male,Delaware,South,Hat,Accessories,S,Teal,Summer,43,12,Monthly,32,4.2,Yes,1,Free Shipping,Venmo,Yes,Yes,1,516,Silver,0.4828205128205128,0.21568627450980393,32,0.6326530612244898,1,0.28811524609843936,Medium,0.6361344537815126,0.46208483393357347,0.6361344537815126,Loyal Regulars
78,22,18-25,Male,Delaware,South,Dress,Clothing,L,Gold,Summer,53,26,Fortnightly,36,3.3,Yes,1,Next Day Air,Debit Card,Yes,Yes,1,1378,Gold,0.7093589743589743,0.49019607843137253,36,0.7142857142857143,0,0.1456582633053221,Low,0.5470588235294117,0.4011204481792717,0.5470588235294117,Champions
79,50,46-55,Male,Nebraska,Midwest,Skirt,Clothing,M,Maroon,Spring,91,26,Fortnightly,50,4.7,Yes,1,Free Shipping,Venmo,Yes,Yes,1,2366,Platinum,0.8774358974358974,0.49019607843137253,50,1.0,1,0.0,Low,0.8470588235294118,0.6225490196078431,0.8470588235294118,Champions
80,38,36-45,Male,Iowa,Midwest,Jacket,Outerwear,M,Olive,Winter,96,4,Every 3 Months,43,2.6,Yes,1,2-Day Shipping,Bank Transfer,Yes,Yes,1,384,Silver,0.4430769230769231,0.058823529411764705,43,0.8571428571428571,0,0.1344537815126051,Low,0.4676470588235294,0.32899159663865546,0.4676470588235294,At-Risk
81,19,18-25,Male,New York,Northeast,Sandals,Footwear,XL,Blue,Summer,72,4,Every 3 Months,24,3.8,Yes,1,Store Pickup,Credit Card,Yes,Yes,1,288,Silver,0.3408974358974359,0.058823529411764705,24,0.46938775510204084,0,0.4993997599039615,High,0.3319327731092437,0.23205282112845138,0.3319327731092437,Discount Hunters
82,67,66-70,Male,Virginia,South,Shoes,Footwear,L,Maroon,Summer,96,4,Every 3 Months,36,2.6,Yes,1,Express,Credit Card,Yes,Yes,1,384,Silver,0.4430769230769231,0.058823529411764705,36,0.7142857142857143,0,0.2689075630252101,Medium,0.41764705882352937,0.29327731092436976,0.41764705882352937,At-Risk
83,19,18-25,Male,Georgia,South,Pants,Clothing,S,Olive,Spring,28,4,Every 3 Months,21,4.0,Yes,1,2-Day Shipping,Credit Card,Yes,Yes,1,112,Bronze,0.18,0.058823529411764705,21,0.40816326530612246,1,0.5570228091236494,High,0.5105042016806722,0.36674669867947174,0.5105042016806722,Casual Browsers
